SRR2138382_Normal	SRR915775_Normal	SRR915787	SRR915784	SRR2138381_Normal
ENSG00000010244	26.0944	25.0473	7.5251	17.0341	31.8728
ENSG00000061938	26.6086	0.480755	0.608882	1.24608	27.1795
ENSG00000179598	1.5665	0.419697	0.354433	0.434993	2.55462
ENSG00000107186	15.2055	2.13493	2.475	2.1546	14.9323
ENSG00000160055	7.94045	1.49591	0.950828	2.17461	8.58083
ENSG00000085276	1.57441	1.9412	1.57624	2.66002	1.23939
ENSG00000176974	5.11599	1.49658	0.424379	2.60726	4.36039
ENSG00000143951	3.08471	3.43203	3.13897	5.54654	4.0448
ENSG00000161896	7.44732	2.47124	2.51761	1.02907	3.92565
ENSG00000144908	9.54811	0.846007	1.10378	0.721469	3.39413
ENSG00000106615	91.927	15.9318	2.71638	5.62131	109.621
ENSG00000018610	8.92926	1.3946	0.675458	1.05039	9.63293
ENSG00000167552	142.359	79.6375	13.9292	33.7091	113.124
ENSG00000105053	13.8373	4.49182	2.16384	3.1656	11.6168
ENSG00000258289	53.103	10.9423	3.35267	3.76765	57.0834
ENSG00000127314	35.4876	9.52498	1.20295	5.93698	35.3522
ENSG00000114529	0.0536097	3.2869	0.223263	0.438254	0.080715
ENSG00000140986	69.2555	3.64726	7.27938	4.15551	57.8973
ENSG00000086232	29.8862	4.96188	1.787	3.98567	29.8569
ENSG00000004897	12.9673	13.3821	3.23073	9.73729	8.52692
ENSG00000188647	1.83765	7.0242	2.41586	3.91922	2.27959
ENSG00000120948	61.8824	27.008	7.11795	13.1085	94.8389
ENSG00000152492	8.70521	6.84983	2.93922	4.29203	7.82046
ENSG00000197969	6.86814	3.48781	0.966825	2.82303	7.08531
ENSG00000161956	22.4172	9.81952	3.192	4.7116	30.2612
ENSG00000166130	2.94066	1.74455	0.316185	1.26726	4.32646
ENSG00000187630	20.6871	3.56843	2.0451	5.64306	16.5978
ENSG00000157103	1.01603	0.117217	0.614771	0.350628	0.701169
ENSG00000138801	4.92841	2.91719	1.80304	4.13759	4.33851
ENSG00000131711	18.3971	12.9397	6.99278	6.97113	13.0543
ENSG00000121691	29.9327	11.7648	5.00595	7.57106	27.6489
ENSG00000106483	5.8627	0	1.65995	8.41056	5.77237
ENSG00000047579	18.6677	1.62425	0.830578	1.7014	23.606
ENSG00000152683	2.44125	3.14948	0.576748	1.79203	2.8277
ENSG00000133422	9.43124	2.61864	1.6752	1.55129	11.0117
ENSG00000010539	1.94472	0.85871	0.361348	0.96267	2.28676
ENSG00000163220	114.276	69.1704	2.83734	17.9008	148.696
ENSG00000090565	19.2361	2.63553	2.21421	2.83423	14.0498
ENSG00000128536	0.991534	0.295068	0.104035	0.70415	0.507136
ENSG00000109189	5.09893	8.88119	4.69191	4.1503	4.02256
ENSG00000057019	11.841	34.8893	4.94802	10.1458	9.81132
ENSG00000170854	6.26831	2.76873	0.643768	2.07022	6.37834
ENSG00000115159	1.76256	2.96671	0.555982	1.96312	1.99463
ENSG00000172915	5.46465	1.61795	1.08829	1.09197	4.46442
ENSG00000171490	52.7484	9.89345	2.27768	4.91314	54.8676
ENSG00000109610	103.296	1.08295	2.44945	3.92721	127.168
ENSG00000148187	18.3333	7.83194	1.54802	2.67374	22.2671
ENSG00000125967	42.1679	2.77919	2.47484	3.64075	28.816
ENSG00000100299	17.5984	1.64333	0.794364	2.93641	15.3982
ENSG00000114315	17.806	0.643713	0.615502	0.484216	19.6022
ENSG00000258366	3.1097	0.80351	0.393968	1.25319	3.1937
ENSG00000164068	21.8993	0.944833	4.4544	4.15347	17.1239
ENSG00000241935	9.09825	2.95186	1.21812	0.832219	2.01237
ENSG00000127824	196.749	33.7627	13.5492	5.45942	44.2178
ENSG00000109180	106.572	14.8357	9.34874	9.47924	133.768
ENSG00000118363	137.571	5.98146	0.984104	3.48918	128.325
ENSG00000115446	19.9064	2.06529	0.855026	2.52391	21.2385
ENSG00000170471	3.94375	3.30751	1.00507	3.56306	3.75701
ENSG00000182809	805.154	5.20351	12.4808	11.2886	1056.41
ENSG00000137055	11.0125	2.92653	2.00934	1.39759	10.0433
ENSG00000188612	176.222	28.4655	5.06351	15.033	178.747
ENSG00000160959	6.83068	1.25928	0.476687	1.4258	7.38207
ENSG00000137098	8.08572	0.0595173	0.437718	0.941621	9.18862
ENSG00000036054	5.84067	13.0422	3.09043	3.19647	5.35235
ENSG00000198937	24.2094	6.94446	1.22313	2.0909	21.3155
ENSG00000149633	3.60251	0.887159	0.571279	2.28132	5.39538
ENSG00000140950	2.38131	1.47151	0.526423	1.70329	2.16425
ENSG00000142002	14.3654	3.83223	1.95163	2.25654	9.9812
ENSG00000062725	2.16415	4.45947	1.35241	4.89644	2.01881
ENSG00000127329	4.60573	7.30951	5.93804	7.11475	3.95024
ENSG00000150457	3.37848	2.76876	1.12065	1.93395	4.23341
ENSG00000164080	1.71294	1.28649	0.846772	1.23021	2.16353
ENSG00000163468	123.869	9.57852	5.95534	4.32197	79.6808
ENSG00000124588	67.855	4.03539	2.03081	2.03658	67.8893
ENSG00000157150	14.4201	6.91653	0.849188	0.791524	2.62641
ENSG00000167461	18.4189	7.91951	2.44783	7.62248	17.2305
ENSG00000175416	202.27	31.2749	8.24116	8.15483	166.798
ENSG00000239388	1.0529	0.430352	0.870356	0.475246	0.36412
ENSG00000123338	1.98037	10.3378	0.750279	4.01983	1.64867
ENSG00000277150	4.77348	0.633704	0.334202	0.415832	7.50325
ENSG00000122477	121.361	2.09255	4.53454	3.70093	76.3685
ENSG00000104490	8.99087	3.87254	1.26234	4.13527	8.95282
ENSG00000011243	27.2176	5.71562	3.02839	4.34361	34.6141
ENSG00000132824	27.7724	12.8141	5.6194	10.0526	24.7193
ENSG00000151176	13.6844	3.84147	1.24621	5.37738	11.3795
ENSG00000110917	57.9282	7.32487	3.29906	6.9269	72.4223
ENSG00000176715	9.84136	1.13326	1.53031	2.92772	10.4508
ENSG00000121966	1.78554	2.8414	0.685203	4.82131	2.48177
ENSG00000186141	5.5914	4.10134	0.843036	2.67832	6.85912
ENSG00000129566	6.32472	2.59173	1.00413	1.80999	5.23135
ENSG00000158270	5.51803	1.79999	0.599605	3.37329	7.41726
ENSG00000143799	31.6857	10.7157	5.46525	5.22666	33.392
ENSG00000211651	2.54264	0.726167	0	9.45916	0.152093
ENSG00000162407	40.3038	12.7787	7.48319	11.2892	42.4856
ENSG00000115274	12.8318	1.6264	1.57459	0.708438	9.44895
ENSG00000080815	6.96865	8.28507	2.46279	4.7162	7.69662
ENSG00000116898	73.2459	4.90457	2.55764	2.58949	77.8329
ENSG00000155657	50.3951	167.025	135.293	79.1753	46.5434
ENSG00000279777	9.54702	6.36542	2.96463	8.29309	7.97682
ENSG00000080573	10.477	1.13171	0.613131	1.81082	10.652
ENSG00000113396	36.4954	1.47833	1.41109	0.666906	23.5054
ENSG00000008283	11.6392	2.51771	0.540954	1.13131	12.6152
ENSG00000163159	28.088	3.16562	0.465225	3.20868	22.0962
ENSG00000065911	10.3768	9.24507	1.84622	3.40575	15.2722
ENSG00000004766	6.01117	2.45015	1.42647	1.9553	4.63303
ENSG00000168827	21.0298	13.0951	3.42927	4.35748	27.8191
ENSG00000126226	27.0979	9.40559	2.02603	3.81899	29.7731
ENSG00000137309	14.27	5.14746	1.39716	0.872612	15.6656
