SRR2138382_Normal	SRR915775_Normal	SRR915787	SRR915784	SRR2138381_Normal
ENSG00000228486	3.82577	1.95103	1.48589	3.94826	4.60848
ENSG00000228794	19.8647	1.80878	3.32028	3.5686	19.6749
ENSG00000228798	1.8845	0.219708	0.199026	1.20891	2.50974
ENSG00000228801	3.97717	0.951921	0.344115	1.24186	3.10481
ENSG00000228812	4.8056	0	0.26778	0.397577	5.35061
ENSG00000228830	38.4521	4.58104	3.19658	7.04411	29.4578
ENSG00000228989	8.17751	1.59819	0.946564	2.25906	8.42196
ENSG00000229227	2.09672	1.15843	0.550267	0.711703	1.53424
ENSG00000229299	5.09657	0	0	0.643316	6.36193
ENSG00000229619	8.50904	7.83974	0.796936	2.23155	10.1947
ENSG00000229694	5.56087	0	0	0	2.08766
ENSG00000229807	0.101807	8.61825	0.32201	0.368212	105.927
ENSG00000229931	1.30392	0.164188	0.296306	0.434511	0.810856
ENSG00000229980	1.84319	0.442278	0.195963	0.602303	1.33848
ENSG00000230074	2.53594	0.621073	0	0.411024	1.70654
ENSG00000230084	7.30034	0.238024	0.126789	0	5.8294
ENSG00000230149	13.7781	2.48394	1.12405	1.88773e-14	9.95828
ENSG00000230262	1.1618	1.719	1.0053	1.05955	1.12828
ENSG00000230325	0.942503	0	0.251456	0.441437	0.402172
ENSG00000230415	3.86099	0.828529	1.00757	0.756351	2.05029
ENSG00000230442	0.971947	0.184304	1.02286	0.173468	1.04655
ENSG00000230530	8.4524	3.10915	1.37221	1.75835	7.81274
ENSG00000230551	1.70034	1.77743	0.574348	1.31691	2.17904
ENSG00000230590	0.957366	2.43839	1.13598	3.01444	1.00226
ENSG00000230606	5.68562	0.818385	1.15384	4.6028	5.90415
ENSG00000230648	1.91965	0	0	0	0
ENSG00000230703	1.06105	0.123113	0	0.324395	0.415431
ENSG00000230724	9.71967	1.18875	0.613974	1.21653	8.89597
ENSG00000230955	5.88949	0.271662	0.211127	0.136438	8.83931
ENSG00000231074	7.81627	5.01828	2.1359	5.44124	5.85483
ENSG00000231160	0.912385	0.414828	0.430762	1.22308	0.661916
ENSG00000231170	2.96487	1.54507	0	0.553521	1.33012
ENSG00000231312	6.23977	0.896001	1.71794	2.47618	7.24855
ENSG00000231346	1.18275	1.25053	0.390389	1.30924	1.6837
ENSG00000231365	2.63531	1.22126	0.260365	1.92181	3.21689
ENSG00000231721	21.594	3.05743	3.55188	4.91337	40.1539
ENSG00000231731	2.43726	1.10992	0.0414386	1.82615	2.02018
ENSG00000231811	45.9072	4.36187	4.72837	1.38255	6.1511
ENSG00000231871	2.29947	0.748713	1.1332	2.50345	1.69562
ENSG00000231880	2.88167	1.36339	1.23288	0.857588	3.70812
ENSG00000231889	5.42026	2.09284	1.11592	1.44914	4.73198
ENSG00000231933	0.70942	4.3972	1.31244	2.20225	0.704794
ENSG00000231943	1.94815	0	0.134052	0.603851	1.63867
ENSG00000231955	9.91367	0.363259	0.562309	0.409826	11.7458
ENSG00000231970	0.927376	1.37905	0	0	1.30575
ENSG00000231999	2.95843	1.14396	0	1.30874	5.73321
ENSG00000232002	0.480651	0	0	0	9.83287
ENSG00000232098	3.01874	1.23281	1.4221	2.46698	2.88796
ENSG00000232110	0.0847895	2.12574	0.813087	0.295869	1.8956
ENSG00000232220	45.1961	8.84434	1.75957	6.3019	80.9413
ENSG00000232233	1.08636	1.39146	0.931249	2.086	1.14323
ENSG00000232310	6.92579	0.428324	0.0276159	0.679248	14.8348
ENSG00000232352	2.85173	0	0.697589	0	2.45638
ENSG00000232354	0.404223	1.0296	0.411379	0.876835	0.406944
ENSG00000232412	0.209088	0	0	0	1.35076
ENSG00000232415	16.7833	0.818105	0.185074	17.5879	5.72775
ENSG00000232527	22.5906	5.05125	0.51637	4.44222	35.6517
ENSG00000232533	3.73328	2.7234	0.144514	0.565296	4.19699
ENSG00000232581	30.1818	2.45752	0.320985	0.920146	29.283
ENSG00000232656	9.793	0.306691	0.0984068	0.322596	6.69077
ENSG00000232677	6.69593	2.09966	1.18617	2.99717	5.67771
ENSG00000232682	3.86412	2.03408	0.857472	0.953051	5.85561
ENSG00000232774	2.38224	4.88284	3.99209	6.50513	3.39664
ENSG00000232807	5.85516	0.66944	0.33417	0.727021	5.0493
ENSG00000232907	9.70532	0.823621	1.26626	1.44548	12.6684
ENSG00000232956	8.56881	2.1743	0.392304	0.75228	15.5934
ENSG00000232973	1.60321	7.08884	1.98129	4.10564	2.32761
ENSG00000232993	50.0994	1.69439	0.878451	6.592	26.0586
ENSG00000233006	1.92257	1.75467	0.78381	1.46644	3.60704
ENSG00000233016	18.8669	3.15099	1.42996	1.93663	17.7548
ENSG00000233098	3.00935	1.41766	0.199497	2.30852	4.74643
ENSG00000233117	20.3171	10.3172	5.71856	1.86132	26.9581
ENSG00000233178	2.51043	4.79697	1.92911	4.38498	2.17644
ENSG00000233184	3.67197	1.05194	0.241184	0.34112	4.91052
ENSG00000233223	7.2307	0.812699	0.273038	1.33997	8.13206
ENSG00000233237	0.458692	0.94142	0.942215	1.89396	0.748614
ENSG00000233250	0.806064	1.97743	0.192568	0.676454	1.73579
ENSG00000233251	1.84975	3.91578	2.93589	6.22603	2.28816
ENSG00000233330	0.749025	0	0	0.329224	1.20972
ENSG00000233351	8.20408	3.69808	2.80907	2.69821	2.89619
ENSG00000233396	6.89448	1.58799	1.31856	1.6861	5.02565
ENSG00000233461	6.40292	1.07552	0.872721	0.706923	4.38332
ENSG00000233527	1.6392	0.0859006	0	0.425756	1.96635
ENSG00000233593	1.59553	1.01513	0.503	0.227919	1.09732
ENSG00000233706	5.06017	0.786082	0.95227	1.83965	5.56182
ENSG00000233766	18.988	2.61588	0.745905	3.85837	14.3932
ENSG00000233825	0.985551	0.634592	0.868227	0.27768	1.51593
ENSG00000233895	3.999	1.51548	1.11631	1.91896	4.2726
ENSG00000233937	1.36637	0.166096	0.173588	0.564252	1.04029
ENSG00000234072	1.85264	1.71569	1.54137	2.21353	1.51064
ENSG00000234160	5.61824	1.94614	0	0	4.77568
ENSG00000234171	4.13543	0.475712	0.582135	0.351284	4.97424
ENSG00000234222	0.716532	1.47814	0.126762	2.5387	1.23748
ENSG00000234327	5.86382	1.43075	0.23198	0.479131	5.33208
ENSG00000234431	10.2574	4.44169e-46	3.34189e-44	4.6383e-97	19.1773
ENSG00000234452	0.451243	0.704296	0	0	0.971711
ENSG00000234456	52.8423	1.90622	1.66589	3.80931	111.012
ENSG00000234478	1.55873	0.609219	0.551222	0.357508	0.63935
ENSG00000234520	102.044	26.2415	4.36741	3.86845	102.225
ENSG00000234608	22.1339	0.209905	0.37442	0.654314	21.2965
ENSG00000234617	3.73417	0.9419	0.24233	0.832009	2.87186
ENSG00000234638	1189.21	15.4939	20.3752	6.26461	707.543
ENSG00000234665	12.78	0.509676	0.39219	0.281929	0.546894
ENSG00000234684	1.70933	1.85022	0.486204	1.56294	1.6722
ENSG00000234741	66.6768	27.5897	1.82491	12.9738	50.9912
ENSG00000234773	0.52758	0.464268	0.216505	0.251991	0.759605
ENSG00000234899	2.32993	0.548196	0.339105	0.765169	6.00007
ENSG00000234912	2.07775	2.0538	1.08741	1.74387	2.49268
ENSG00000234945	3.86198	3.86105	1.00675	2.94392	5.00456
ENSG00000234961	51.8198	17.7781	4.68874	12.2505	32.8771
ENSG00000235016	4.01433	1.13923	0.104454	0.894248	3.90942
ENSG00000235027	5.02776	0.405681	0.16135	0.719999	5.82655
ENSG00000235033	1.94659	1.33684	0.338785	0.806683	2.53673
ENSG00000235078	7.80686	0.29868	0.178865	0.440511	5.36749
ENSG00000235106	5.19467	0.712264	0.705348	1.13771	4.04147
ENSG00000235236	3.42774	0.775556	0.876591	0.682999	4.66439
